user_id,cluster
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,0
10,2
11,1
12,1
13,1
14,2
15,0
16,2
17,3
18,1
19,3
20,1
21,1
22,0
23,1
24,2
25,2
26,2
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,3
37,2
38,0
39,0
40,2
41,1
42,2
43,3
44,1
45,1
46,0
47,1
48,2
49,2
50,0
51,1
52,1
53,1
54,0
55,2
56,1
57,1
58,1
59,0
60,0
61,2
62,1
63,1
64,1
65,0
66,1
67,3
68,1
69,1
70,2
71,1
72,0
73,2
74,1
75,1
76,0
77,3
78,3
79,0
80,3
81,2
82,2
83,2
84,1
85,2
86,1
87,2
88,1
89,2
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,3
100,1
101,1
102,1
103,1
104,2
105,2
106,0
107,2
108,2
109,0
110,1
111,1
112,2
113,1
114,0
115,1
116,0
117,2
118,2
119,1
120,1
121,0
122,1
123,1
124,2
125,1
126,1
127,3
128,2
129,1
130,0
131,1
132,1
133,0
134,3
135,2
136,2
137,3
138,2
139,3
140,1
141,2
142,2
143,2
144,0
145,1
146,2
147,2
148,1
149,2
150,2
151,2
152,1
153,2
154,2
155,3
156,1
157,1
158,3
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,2
168,1
169,2
170,1
171,1
172,2
173,2
174,1
175,3
176,3
177,0
178,3
179,1
180,1
181,0
182,0
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,2
191,1
192,2
193,1
194,1
195,1
196,3
197,2
198,1
199,1
200,2
